Tiêu đề,Địa chỉ,Miêu tả,Ngày đăng,Ngày hết hạn,Giá,Diện tích,Hướng nhà,Hướng ban công,Số phòng,Vệ sinh,Mặt tiền,Chiều rộng mặt tiền,Số tầng,Tình trạng  pháp lý,Nội Thất Cao Cấp,Loại danh sách,ID danh sách
Chính chủ - bán chung cư Chùa Bộc - Đông Tác - Đống Đa. Đủ nội thất giá rẻ,"Phố Chùa Bộc, Phường Trung Liệt, Đống Đa, Hà Nội","Mở bán trực tiếp chung cư Chùa Bộc - Đông Tác - view Vincom Phạm Ngọc Thạch - Đống Đa. Nội thất đầy đủ, khách hàng nhận nhà về ở được luôn. Chung cư gần học viện Ngân Hàng, đại học Bách Khoa, đại học Y Hà Nội. Liên hệ  0968 601 *** Giá bán chỉ từ 600tr. Diện tích: 25m² - 60m² - 70m². Thiết kế đa dạng các loại căn hộ như sau: Studio - 1PN - 2PN - 3PN - Penthouse sân vườn - Kiot bán hàng. Sở hữu vĩnh viễn lâu dài. Khách hàng không mất thêm bất kỳ chi phí nào khác. Pháp lý đầy đủ và đảm bảo theo quy định của pháp luật. Khách hàng liên hệ trực tiếp chủ đầu tư để mua nhà giá gốc. LH:  0968 601 ***",07/11/2024,17/11/2024,"1,2 tỷ",55 m²,2 phòng,Sổ đỏ,N/A,N/A,Đông - Nam,3 phòng,Đủ Nội Thất,N/A,N/A,Tin thường,34341746
"Tôi chinh chủ cần bán nhà Thịnh Hào 3, diện tích 12m2 x 5 tầng o tô 20m giá 1,4 tỷ có thương lượng","Thịnh Hào 3, Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",Nhà ngay mặt ngõ thông cách o tô 20m gần trường chợ thuận tiện. Xây 5 tầng. Tầng 1 để xe. Tầng 2: Phòng ngủ rộng. Tầng 3: Vệ sịnh to máy + máy giặt. Tầng 4: Phòng ngủ rộng. Tầng 5: Bếp + sân phơi. Chính chủ miễn Mg.,09/11/2024,16/11/2024,"1,4 tỷ",12 m²,2 phòng,Hợp đồng mua bán,N/A,N/A,5 tầng,2 phòng,N/A,N/A,N/A,Tin VIP Bạc,41402222
"Chính CĐT bán căn hộ chung cư mini xây mới, full nội thất, Thái Thịnh - Thái Hà. Giá 1ty4/căn","Phố Thái Thịnh, Phường Trung Liệt, Đống Đa, Hà Nội","1. Vị trí. Trung tâm quận Đống Đa, tiện ích xung quanh đầy đủ. Gần các trường Đại Học lớn như: Đh Thủy Lợi, ĐH Công Đoàn, cách Royal City 300m. Ngõ thông tứ phía, giao thông rất thuận tiện đi lại ra các tuyến phố lớn: Yên Lãng, Thái Thịnh, Vĩnh Hồ, Tây Sơn, Đường Láng, 2. Quy Mô tòa nhà: Tòa nhà xây dựng được xây dựng 7 tầng, mỗi tầng 4 căn hộ gồm các căn 1 ngủ và 2 ngủ. Thiết kế đầy đủ công năng sử dụng và nhiều ánh sáng tự nhiên. 3. Căn hộ DT 33m², 52m², 55m² Giá từ 1ty4 - 1ty8/căn. 4. Nội thất: Full nội thất, khách mua về chỉ cần xách vali quần áo đến ở. * Giấy tờ pháp lý: Khách hàng mua căn hộ nhận được sổ hồng vĩnh viễn. * Liên hệ CĐT:  0989 446 ***",08/11/2024,18/11/2024,"1,4 tỷ",52 m²,Hợp đồng mua bán,Đầy đủ,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin thường,41464858
"BÁN CĂN CCMN ,THÁI THỊNH _ ĐỐNG ĐA, 1N,2N , 35,52m , ẢNH THẬT","Đường Vĩnh Hồ, Phường Thịnh Quang, Đống Đa, Hà Nội","Căn hộ CCMN thái thịnh - Đống Đa Vị trí : đi ngõ thông sang đường vĩnh hồ, cạnh chợ vĩnh hồ Diện tích: 52m Thiết kế: 2 ngủ- 1 khách-1wc               1pn ,1wc , 35m² ,  Giá 1,4ty, 1,8ty ( có thương lượng ) Full nội thất như ảnh Tầng cao, thoáng, pccc đạt chuẩn, an ninh 24/24 Liên hệ xem nhà 24/7",05/11/2024,15/11/2024,"1,45 tỷ",52 m²,2 phòng,1 phòng,Đầy đủ,N/A,Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41427089
"Bán nhà rẻ trung tâm Đống Đa Tôn Đức Thắng, 17m2 - ngõ xe máy","Phố Tôn Đức Thắng, Phường Thổ Quan, Đống Đa, Hà Nội","Gia đình mình cần bán nhà trong ngõ phố Tôn Đức Thắng Đống Đa. Cách ngã 6 Ô Chợ Dừa 300m. Nhà cách mặt đường Tôn Đức Thắng khoảng 100m, ngõ xe máy. Tình trạng: Nhà cấp 4. Đang sửa đẹp thành 2 tâng tầng 1: 17m2 tầng 2: 21m2 Xung quanh đầy đủ tiện nghi: Chợ, trường học, bệnh viện có đủ hết, đi bộ chưa đến 300m. Nằm ở trung tâm Đống Đa nên đi đâu cũng gần. Nhà mình không có giấy tờ, mua bán vi bằng nên mong quý anh chị đọc kỹ bài đăng.  Giá : 1 tỷ 500 Miễn trung gian  Hùng : 0904 598 ***",07/11/2024,23/11/2024,"1,5 tỷ",17 m²,1 phòng,Hợp đồng mua bán.,N/A,N/A,1 tầng,1 phòng,N/A,N/A,N/A,Tin thường,41275969
CCMN Thịnh Quang - Tây Sơn - Đống Đa 52m2 x 2 ngủ x 1.54 tỷ ( nhà như ảnh - tặng fun dồ ) thanh máy,"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội",CCMN Thịnh Quang - Tây Sơn - Đống Đa 52m² x 2 ngủ x 1.54 tỷ (nhà như ảnh - tặng fun dồ) thanh máy. + Thiết kế: 2 ngủ thoáng sáng vô biên. + Tặng fun đồ như ảnh. + Giá 1.54 tỷ (có thương lượng).,01/11/2024,11/11/2024,"1,54 tỷ",52 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin thường,41387738
SÁT PHỐ- THANG MÁY- Ô TÔ ĐỖ CỬA THÔNG BÀN CỜ- NỘI THẤT NHƯ KHÁCH SẠN 5 SAO,"Đường Tây Sơn, Phường Trung Liệt, Đống Đa, Hà Nội","SÁT PHỐ- THANG MÁY- Ô TÔ ĐỖ CỬA THÔNG BÀN CỜ- NỘI THẤT NHƯ KHÁCH SẠN 5 SAO Mô tả:  - Diện tích 52m xây 4 tầng - Giá 15.95 tỷ có thương lượng - Tây Sơn - Đống Đa có căn nhà ô tô đỗ cửa nội thất 5 sao giá chỉ 15.95 tỷ - Phân khúc hiếm, gần ĐH Công đoàn, ĐH thuỷ lợi, công viên văn hoá Đống Đa, trường Cao đẳng Ngoại ngữ và Công nghiệp, ngay ngã 4 Xã Đàn, Vincom Phạm Ngọc Thạch, rạp chiếu phim quốc gia, trường TH Quang Trung, gần đường Nguyễn Trãi, Royal City và rất nhiều tiện ích xung quanh - Nhà đẹp, thiết kế 5 sao, thiết kế mỗi tầng có 2 phòng ngủ, có không gian để bàn trà - Sổ đỏ chính chủ, sẵn sàng giao dịch LIÊN HỆ XEM NHÀ TRỰC TIẾP:",09/11/2024,19/11/2024,"1,6 nghìn",52 m²,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng,N/A,5 m,"3,2 m",3 phòng,N/A,N/A,Tin thường,41477358
"Chính chủ bán gấp căn hộ mini tại phố Tôn Đức Thắng, giá chỉ 1,65 tỷ, 50m2, 2PN, full đồ","Phố Tôn Đức Thắng, Phường Quốc Tử Giám, Đống Đa, Hà Nội","Căn hộ mini xịn xò tại Phố Tôn Đức Thắng, Quốc Tử Giám, Đống Đa, Hà Nội đang cần tìm chủ mới. Diện tích 50m², có 2PN cực chill và 1PT. Nội thất đầy đủ với giường, tủ, bàn ghế, nấu ăn thoải mái. - Hướng cửa chính: Đông, đón nắng sáng. - Ban công hướng Bắc, lý tưởng để thư giãn. - Pháp lý đầy đủ, yên tâm về giấy tờ. Nếu bạn đang tìm một chốn an cư hay đầu tư thì đây chính là lựa chọn không thể bỏ qua. Liên hệ ngay để được tư vấn miễn phí!  0983 169 ***  Chủ Đầu Tư.",07/11/2024,17/11/2024,"1,65 tỷ",50 m²,2 phòng,1 phòng,Đầy đủ,N/A,Đông,Bắc,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41458940
"Bán căn hộ 1,65 tỷ VND tại đường Láng, Đống Đa, Hà Nội 60m2 - 2 ngủ, full đồ","Đường Láng, Phường Láng Hạ, Đống Đa, Hà Nội","Cần bán căn hộ giá 1,65 tỷ VND tại đường Láng, Phường Láng Hạ, Đống Đa, Hà Nội với diện tích 60m² và pháp lý Sổ đỏ. Đặc điểm nổi bật. - Pháp lý rõ ràng với Sổ đỏ, đảm bảo quyền sở hữu cho chủ nhân mới. Đây là một yếu tố quan trọng khi chọn mua căn hộ. - Nội thất đầy đủ, sẵn sàng để vào ở ngay mà không cần phải tốn thêm chi phí trang trí. - Hướng cửa chính Nam, mang lại ánh sáng tự nhiên và không khí thoáng đãng cho căn hộ. - Ban công hướng Đông Bắc, lý tưởng để đón gió mát và ánh sáng vào buổi sáng. - Giá bán chỉ 1,65 tỷ VND, rất hợp lý cho một căn hộ tại khu vực trung tâm Hà Nội. - Diện tích 60m², phù hợp cho gia đình nhỏ hoặc các cặp đôi đang tìm kiếm không gian sống thoải mái. - Căn hộ có 2 phòng ngủ và 1 toilet, đáp ứng nhu cầu sinh hoạt của gia đình. Liên hệ ngay  0983 169 ***  để biết thêm chi tiết và đặt lịch xem căn hộ.",05/11/2024,16/11/2024,"1,65 tỷ",60 m²,2 phòng,1 phòng,Đầy đủ,N/A,Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41309900
Nhỉnh 1 tỷ có ngay căn hộ tầng 3 tập thể ngõ 1194 Đường Láng 35m2 sổ đỏ nội thất vip,"1194, Đường Láng, Phường Phương Liên, Đống Đa, Hà Nội","Cần bán căn hộ tập thể tầng 3 nội thất vip toà nhà 4 tầng ngõ 1194 đường Láng. Diện tích 35m² gồm 1 ngủ 1 phòng khách 1 bếp và 1 wc khép kín. 1 ban công cực thoáng. Ngõ vô ô tô đỗ, khu dân trí vip an ninh đảm bảo. Sổ đỏ chính chủ. Giá chỉ 1.8 tỷ. Liên hệ xem nhà anh Hiếu:  0916 617 ***",02/11/2024,12/11/2024,"1,8 tỷ",35 m²,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,1 phòng,1 phòng,N/A,N/A,N/A,Tin VIP Bạc,41409096
