Title,Address,Description,Posted Date,Expiry Date,Price,Area,House Direction,Balcony Direction,Bedrooms,Toilets,Frontage,Entrance Width,Number of Floors,Legal Status,Interior,Listing Type,Listing ID
"Chuyên biệt thự, nhà vườn tại Geleximco, từ nhà đẹp giá rẻ tới siêu đẳng cấp An Khánh Land đều có","Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội","BĐS An Khánh Land kính gửi quý khách hàng thông tin 12 lô biệt thự liền kề hàng tuyển chọn khu ABCD Gleximco cần bán gấp hàng cập nhật mới nhất thông tin như sau: Khu A: 1. A11 diện tích 120m² (nhà hoàn thiện đẹp có thang máy), hướng TN, mặt tiền 6m, giá 24.5 tỷ. 2. A20 - 48 diện tích 120, hướng Bắc, mặt tiền 5m giá 22.5 tỷ. 3. BTSLA18 diện tích 240m², hướng Đông Bắc, mặt tiền 12 giá 38 tỷ. Khu B: 1. B25 diện tích 120m² (trục chính), mặt tiền 6m, hướng Bắc, giá 21 tỷ. 2. B10 cặp 22 - 23 diện tích 90m² sau trục thông Vin, mặt tiền 6m, giá 18.5 tỷ. 3. B37 diện tích 60m mặt tiền 4m, hướng Bắc giá 11.5 tỷ. Khu C: 1. C2 - 17 dt 120m² (nhìn vườn hoa), giá 22 tỷ. 2. C7 - 22 đường 20.5 diện tích (trục chính số khu C, hoàn thiện đẹp, nhìn chung cư kinh doanh đỉnh) mặt tiền 19m, hướng Đông Nam giá 34.5 tỷ. 3. C25 diện tích 150m² (trục chính số 2 khu C) giá 28 tỷ. Khu D: 1. D21 ô 15 diện tích 170m², mặt tiền 10m, hướng Bắc giá 26.5 tỷ. 2. BTSL D18 diện tích 240m² (nhìn vườn hoa), hướng đông giá 28.5 tỷ. 3. D43 diện tích 120m² hướng Đông Nam giá 21 tỷ. Còn nhiều thông tin cần bán nữa. - Quý anh chị cần tư vấn và biết thêm thông tin vui lòng Liên Hệ: SĐT  0978 478 ***  - Văn phòng BĐS An Khánh Land C7 lô 18 khu C Geleximco Lê Trọng Tấn, Hà Đông, Hà Nội, chuyên biệt thự liền kề, nhà vườn, shophouse khu vực Hoài Đức, Hà Đông. Cảm ơn anh/chị đã đọc tin!",07/11/2024,14/11/2024,21 tỷ,120 m²,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,N/A,Tin VIP Kim Cương,41456999
"Chính chủ bán nhà riêng, lô góc 2 mặt tiền hướng Đông Nam và Tây Nam 2 mặt ngõ rộng 2,5m và 2,5m","Số 20A, Đường 12, Cụm 3 TDP 7, Đường Quang Trung, Phường La Khê, Hà Đông, Hà Nội","Chính chủ bán nhà riêng, lô góc 2 mặt tiền hướng Đông Nam và Tây Nam 2 mặt ngõ rộng 2,5m và 2,5m. DT 31m². Giá 6.39 tỷ. Hồ sơ giấy tờ rõ ràng, pháp lý đầy đủ, trước mặt đường quy hoạch 9m ParkCity. Giáp trường Chuyên Nguyễn Huệ, dân cư tri thức, thân thiện, nên đến xem hoặc kết bạn gửi video nhà.",06/11/2024,13/11/2024,"6,39 tỷ",31 m²,Đông - Nam,Đông - Nam,3 phòng,2 phòng,6 m,"2,5 m",4 tầng,Sổ đỏ/ Sổ hồng,N/A,Tin VIP Kim Cương,41448282
"Bán căn góc 3PN 112m2 sổ lâu dài - giá full 6.1 tỷ, căn góc 96m 3PN giá full 4.48 tỷ Grand Sunlake","Dự án Grand Sunlake, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội","Quỹ căn độc quyền đẹp nhất dự án Grand Sunlake Văn Quán - Hà Đông: 1) Căn góc 112m² tầng đẹp, sổ lâu dài, giá full: - View hồ - Giá 6.4 tỷ. - View Trần Phú - Giá 6.1 tỷ. 2) Căn góc 3PN 96m² tầng đẹp, view hồ, giá full 4.48 tỷ. 3) Căn 90 - 92m² 2pn + 1 tầng đẹp, giá full 3.9-4.1 tỷ. 4) Căn Dual Key tầng đẹp, giá full 3.55 tỷ. - Ngân hàng HD bank bảo lãnh dự án và cho vay miễn lãi 18 tháng/tới khi bàn giao nhà. - Bàn giao full nội thất gắn tường nhập khẩu. - Pháp lý đầy đủ. Giao nhà T12/2025. LH Xem căn mẫu:  0943 448 *** . Phòng bán hàng trực tiếp CĐT.",02/11/2024,12/11/2024,"4,48 tỷ",96 m²,3 phòng,2 phòng,Cơ bản,N/A,Đông - Bắc,Tây - Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin VIP Kim Cương,40987282
Bán nhanh nhà đẹp ở ngay Ngô Quyền Hà Đông 39.2m2x4T MT3.92m giá 7.9 tỷ,"Đường Ngô Quyền, Phường Quang Trung, Hà Đông, Hà Nội","Cần bán nhà riêng với giá 7,9 tỷ VND tại đường Ngô Quyền, phường Quang Trung, Hà Đông, Hà Nội. Pháp lý rõ ràng với sổ đỏ, diện tích 39.2 m² và 3 phòng ngủ. Thông tin cơ bản. * Pháp lý: Sổ đỏ/ Sổ hồng. * Nội thất: Đầy đủ. * Số tầng: 4. * Hướng cửa chính: Đông Bắc. * Chiều ngang mặt tiền: 3.9 m. * Chiều rộng ngõ trước: 4.0 m. * Giá: 7,9 tỷ VND. * Diện tích: 39.2 m². * Số phòng ngủ: 3. * Số toilet: 4. Mô tả chi tiết. * Nhà được thiết kế hiện đại, phù hợp cho gia đình đông người. Nội thất đẹp chỉ việc ở. * Vị trí thuận lợi, gần các tiện ích cần thiết. * Không gian sống thoải mái với 3 phòng ngủ và 4 toilet. * Thiết kế thông minh, tối ưu hóa diện tích sử dụng. Liên hệ ngay để biết thêm chi tiết:  0917 575 ***  Cấn Vũ.",07/11/2024,17/11/2024,"7,9 tỷ","39,6 m²",Đông - Bắc,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"3,92 m",4 m,3 phòng,Đầy đủ,N/A,Tin thường,41343651
2 mặt thoáng vĩnh viễn DT: 60m2 12 tỷ Ao Sen Mỗ Lao Hà Đông giá quá tốt ô tô đỗ cửa,"Đường Ao Sen, Phường Mỗ Lao, Hà Đông, Hà Nội","2 mặt thoáng ô tô đỗ cửa 2 mặt tiền chủ rất muốn bán. Giá 12 tỷ vào việc ngay. - Sổ nét căng giao dịch luôn. Cực hiếm giá trị đầu tư ở đều ok. Phố ao sen là tuyến phố dân trí cao, phân lô bàn cờ khách mua về để ở hoặc vừa ở + cho thuê văn phòng hoặc kinh doanh tầng 1 là hợp lý nhất. + Vị trí: Gần nhiều trường đại học lớn như Kiến Trúc, Bưu Chính Viễn Thông, An Ninh, ba bước ra KĐT Mỗ Lao 200m ra hồ Văn Quán... + Nhà diện tích mặt tiền rộng ngõ đẹp ô tô chạy vòng quanh, thửa đất vuông vắn cả phố nhà nào cũng kinh doanh. + Diện tích trên sổ 60m² 2 mặt thoáng vĩnh viễn. + Nhà xây khung công bê tông chắc chắn thiết kế hiện đại. - Tầng 1: Kinh doanh + phòng khách + WC. - Tầng 2,3: 4 phòng rộng + WC. - Tầng 4: Phòng thờ. Zalo: 037514 (4 số 2).",06/11/2024,16/11/2024,12 tỷ,60 m²,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng,N/A,4 m,10 m,4 phòng,N/A,N/A,Tin thường,41332449
Chính chủ bán biệt thự Vạn Phúc 158m2 giá đầu tư 173 triệu/m2,"Dự án Vạn Phúc - Simco Sông Đà, Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội","Chính chủ bán biệt thự Vạn Phúc 158m² độc quyền giá chỉ 173tr/m². Chính chủ gửi bán biệt thự Vạn Phúc 158m² độc quyền giá chỉ 173tr/m². Diện tích đất: 158 m². Thiết kế: Xây dựng 90m², sàn 246m², 3 tầng hoàn thiện. Vị trí: Tiểu khu đô thị mới Vạn Phúc, cách đường tố hữu 100m, thuận tiện giao thông. Giá bán: 173 tr/m² bao thuế phí. Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch. Liên hệ:  0338 341 ***",03/11/2024,03/12/2024,173 triệu/m²,158 m²,Đông - Nam,Đông - Nam,4 phòng,3 phòng,16 m,15 m,3 tầng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Tin thường,40675792
"Nhà 4 tầng, Ỷ La DT 30m2, MT 3.3m, ô tô đỗ 5.6 tỷ Hà Đông. LH 0886 743 ***","Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội","- Bán 4 tầng Ỷ La, Dương Nội, Hà Nội. DT 30.3m², MT 3.3m ô tô tải đỗ cửa, cách 200m ra đường Lê Trọng Tấn, Hà Đông. - Khu vực trung tâm, gần ủy ban phường, trường học các cấp, gần nhiều tiện ích như chợ, siêu thị, ngân hàng, - Nhà dân xây dựng chắc chắn, có thể lên thêm tầng. - Vị trí an cư, đầu tư sinh lời, giá rẻ nhất khu vực. - Pháp lý: Sổ đỏ sẵn sàng giao dịch, có thương lượng gia lộc. - Liên hệ: Mr Hà  0886 743 ***  xem nhà miễn phí, miễn (TG - MG).",07/11/2024,22/11/2024,"5,6 tỷ","30,3 m²",Đông,Đông,2 phòng,3 phòng,"3,3 m",6 m,4 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,Tin thường,41452121
"Chuyên biệt thự, nhà vườn tại Geleximco, từ nhà đẹp giá rẻ tới siêu đẳng cấp An Khánh Land đều có","Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội","BĐS An Khánh Land kính gửi quý khách hàng thông tin 12 lô biệt thự liền kề hàng tuyển chọn khu ABCD Gleximco cần bán gấp hàng cập nhật mới nhất thông tin như sau: Khu A: 1. A11 diện tích 120m² (nhà hoàn thiện đẹp có thang máy), hướng TN, mặt tiền 6m, giá 24.5 tỷ. 2. A20 - 48 diện tích 120, hướng Bắc, mặt tiền 5m giá 22.5 tỷ. 3. BTSLA18 diện tích 240m², hướng Đông Bắc, mặt tiền 12 giá 38 tỷ. Khu B: 1. B25 diện tích 120m² (trục chính), mặt tiền 6m, hướng Bắc, giá 21 tỷ. 2. B10 cặp 22 - 23 diện tích 90m² sau trục thông Vin, mặt tiền 6m, giá 18.5 tỷ. 3. B37 diện tích 60m mặt tiền 4m, hướng Bắc giá 11.5 tỷ. Khu C: 1. C2 - 17 dt 120m² (nhìn vườn hoa), giá 22 tỷ. 2. C7 - 22 đường 20.5 diện tích (trục chính số khu C, hoàn thiện đẹp, nhìn chung cư kinh doanh đỉnh) mặt tiền 19m, hướng Đông Nam giá 34.5 tỷ. 3. C25 diện tích 150m² (trục chính số 2 khu C) giá 28 tỷ. Khu D: 1. D21 ô 15 diện tích 170m², mặt tiền 10m, hướng Bắc giá 26.5 tỷ. 2. BTSL D18 diện tích 240m² (nhìn vườn hoa), hướng đông giá 28.5 tỷ. 3. D43 diện tích 120m² hướng Đông Nam giá 21 tỷ. Còn nhiều thông tin cần bán nữa. - Quý anh chị cần tư vấn và biết thêm thông tin vui lòng Liên Hệ: SĐT  0978 478 ***  - Văn phòng BĐS An Khánh Land C7 lô 18 khu C Geleximco Lê Trọng Tấn, Hà Đông, Hà Nội, chuyên biệt thự liền kề, nhà vườn, shophouse khu vực Hoài Đức, Hà Đông. Cảm ơn anh/chị đã đọc tin!",07/11/2024,14/11/2024,21 tỷ,120 m²,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,N/A,Tin VIP Kim Cương,41456999
"Chính chủ bán nhà riêng, lô góc 2 mặt tiền hướng Đông Nam và Tây Nam 2 mặt ngõ rộng 2,5m và 2,5m","Số 20A, Đường 12, Cụm 3 TDP 7, Đường Quang Trung, Phường La Khê, Hà Đông, Hà Nội","Chính chủ bán nhà riêng, lô góc 2 mặt tiền hướng Đông Nam và Tây Nam 2 mặt ngõ rộng 2,5m và 2,5m. DT 31m². Giá 6.39 tỷ. Hồ sơ giấy tờ rõ ràng, pháp lý đầy đủ, trước mặt đường quy hoạch 9m ParkCity. Giáp trường Chuyên Nguyễn Huệ, dân cư tri thức, thân thiện, nên đến xem hoặc kết bạn gửi video nhà.",06/11/2024,13/11/2024,"6,39 tỷ",31 m²,Đông - Nam,Đông - Nam,3 phòng,2 phòng,6 m,"2,5 m",4 tầng,Sổ đỏ/ Sổ hồng,N/A,Tin VIP Kim Cương,41448282
"Bán căn góc 3PN 112m2 sổ lâu dài - giá full 6.1 tỷ, căn góc 96m 3PN giá full 4.48 tỷ Grand Sunlake","Dự án Grand Sunlake, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội","Quỹ căn độc quyền đẹp nhất dự án Grand Sunlake Văn Quán - Hà Đông: 1) Căn góc 112m² tầng đẹp, sổ lâu dài, giá full: - View hồ - Giá 6.4 tỷ. - View Trần Phú - Giá 6.1 tỷ. 2) Căn góc 3PN 96m² tầng đẹp, view hồ, giá full 4.48 tỷ. 3) Căn 90 - 92m² 2pn + 1 tầng đẹp, giá full 3.9-4.1 tỷ. 4) Căn Dual Key tầng đẹp, giá full 3.55 tỷ. - Ngân hàng HD bank bảo lãnh dự án và cho vay miễn lãi 18 tháng/tới khi bàn giao nhà. - Bàn giao full nội thất gắn tường nhập khẩu. - Pháp lý đầy đủ. Giao nhà T12/2025. LH Xem căn mẫu:  0943 448 *** . Phòng bán hàng trực tiếp CĐT.",02/11/2024,12/11/2024,"4,48 tỷ",96 m²,3 phòng,2 phòng,Cơ bản,N/A,Đông - Bắc,Tây - Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin VIP Kim Cương,40987282
