Title,Address,Description,Posted Date,Expiry Date,Price,Area,House Direction,Balcony Direction,Bedrooms,Toilets,Frontage,Entrance Width,Number of Floors,Legal Status,Interior,Listing Type,Listing ID
"Tôi cần bán căn hộ tại T6 Time Citys, DT 108m2, có sổ hồng. LH trực tiếp 0913 517 *** MTG","Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội","Căn hộ Times City, Hai Bà Trưng, 108m² tràn ngập ánh sáng tự nhiên - thiết kế 2 ngủ, 2 vệ sinh, phòng khách, bếp, ban công thoáng rộng.  Sổ hồng đầy đủ, sẵn sàng giao dịch ngay.  LH trực tiếp chủ nhà để làm việc  0913 517 *** . Vị trí và tiện ích: - Căn hộ nằm trong tòa T6 dự án Times City gần hồ điều hòa trung tâm, T6 cũng là tòa được đánh giá có vị trí thuận tiện và trung tâm nhất khu đô thị, kết nối với các tiện ích chung của KĐT vô cùng thuận tiện như trường học Vinschool, bệnh viện Vinmec, TTTM Vincom Mega Mall Times City. Điểm nổi bật khác, T6 có mật độ thấp, chỉ 400 căn hộ tương đương 16 căn/sàn, 8 thang máy (6 thang khách, 2 thang hàng, 2 thang bộ thoát hiểm) nên cực kỳ thoáng. Giá bán: 8,5 tỷ VND. Liên hệ:  0913 517 ***  để sắp xếp thời gian xem căn hộ. (Các anh chị quảng cáo, môi giới xin vui lòng không liên hệ để tránh mất thời gian của các bên).",05/11/2024,12/11/2024,"8,5 tỷ",108 m²,Sổ đỏ,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,N/A,Tin VIP Kim Cương,41156013
Chuyên chuyển nhượng căn hộ Sunshine Garden rẻ nhất thị trường. LH Tuấn Anh 0889 108 ***best seller,"Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội","Chủ nhà có nhu cầu mua bán, cho thuê căn hộ liên hệ em Cao Tuấn Anh:  0889 108 ***  để được phục vụ tốt nhất, nhanh nhất. Tôi là cư dân dự án Sunshine Garden, căn hộ G1 - 1104 và đang làm môi giới cho thuê, mua bán tại khu vực này. Hiện tại tôi đang có quỹ căn cho thuê và mua bán từ 1PN - 2PN - 3PN - 4PN đồ nguyên bản chủ đầu tư hoặc full đồ cho khách hàng lựa chọn. Bảng giá căn hộ như sau: - Căn hộ 1PN (46m² thông thuỷ): 3tỷ6. - Căn hộ 2PN (78m² thông thuỷ): 4tỷ8. - Căn hộ 3PN (94m² và 108m² thông thuỷ): 6tỷ. - Căn hộ 4N 3WC 128 và 130m² thông thuỷ: Giá chưa từng có chỉ 6tỷ2 (duy nhất 1 căn). - Căn hộ 4PN + 1 (137m² và 141m² thông thủy): 7tỷ5 có sổ. * Tiện ích: Nhận nhà ở luôn, Sunshine Garden đã và có tiện ích gì? - Siêu thị Sunshine Mart khai trương 08/03/2020. - Nhà thuốc An Tâm. - Khuôn viên cây xanh, đường dạo bộ, bể bơi thác tràn, vườn thượng uyển trên không với khung cảnh Châu Âu. - Trường mầm non quốc tế Sunshine Maple Bear với diện tích 1000m² tại tòa G3 khai trương tháng 6/2020. - Các shophouse ngay dưới chân tòa nhà với diện tích 100, 150, 200, 250, 300m² sắp đi vào hoạt động, với sự xuất hiện của các nhãn hàng nổi tiếng sẽ mang lại cho cư dân những trải nghiệm tiện ích đầy đủ và cao cấp. - Gym, yoga. * Nội thất chủ đầu tư bao gồm: - Hệ thống bếp và tủ bếp thương hiệu Hafele. - Điều hòa âm trần Daikin. - Full WC thương hiệu Kohler. - Đèn, trần thạch cao, sàn gỗ. Liên hệ em Cao Tuấn Anh  0889 108 ***  để đi xem căn hộ trực tiếp 24/7 và gặp chủ nhà. Tránh trường hợp bị quảng cáo 1 kiểu đến gặp lại 1 kiểu. - Sale lịch sự, nhiệt tình, tâm huyết với khách hàng và chủ nhà. - Hỗ trợ thủ tục từ A - Z vì tôi là cư dân ở đây.",05/11/2024,15/11/2024,6 tỷ,108 m²,3 phòng,2 phòng,Cơ bản,N/A,Bắc,Đông - Bắc,Hợp đồng mua bán,N/A,N/A,Tin VIP Kim Cương,41022688
Chính chủ bán nhà mặt phố Hàn Thuyên,"Đường Hàn Thuyên, Phường Phạm Đình Hổ, Hai Bà Trưng, Hà Nội","Bán nhà phố Hàn Thuyên, mặt tiền 29m ngay ngã 5 Phan Chu Trinh & Hàn Thuyên. Được tọa lạc tại vị trí đắc địa ở Phường Phạm Đình Hổ, Hai Bà Trưng, Hà Nội, đây là một lựa chọn lý tưởng cho các doanh nghiệp đang tìm kiếm một không gian kinh doanh thuận lợi. * Điểm nổi bật*. - Chỉ 5 phút đến Nhà Hát Lớn, phố đi bộ Tràng Tiền, phố đi bộ hồ Hoàn Kiếm; - Mặt phố vỉa hè rộng trên 21m, phù hợp cho xe ô tô di chuyển dễ dàng. - Mặt tiền rộng rãi, lý tưởng cho việc kinh doanh hoặc mở văn phòng. - Vị trí trung tâm, gần nhiều tiện ích và dịch vụ, tạo điều kiện thuận lợi cho cuộc sống hàng ngày. - Pháp lý đầy đủ, đảm bảo an tâm cho người sở hữu. - Pháp lý: Sổ đỏ/ sổ hồng. Sẵn sàng sang tên ngay. Giá đầu tư siêu lợi nhuận bác ạ. Đừng bỏ lỡ cơ hội này! Hãy gọi Builam  0793 059 ***",30/10/2024,14/11/2024,729 triệu/m²,"223,8 m²",Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,29 m,21 m,N/A,N/A,N/A,Tin VIP Kim Cương,41372428
Bán nhà 7 tầng CCMN 23 căn hộ khép kín - 3 mặt thoáng - ôtô đỗ cửa - cách phố Minh Khai 10m,"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội","Bán nhà 7 tầng CCMN 23 căn hộ khép kín - 3 mặt thoáng - ôtô đỗ cửa - cách phố Minh Khai 10m. Thông tin chi tiết: Diện tích: 101m², 7 tầng, mặt tiền rộng 6m. Tòa chung cư mini 23 căn hộ khép kín, thiết kế phong cách Nhật Bản, full nội thất cao cấp. Tầng 1: 2 căn hộ + chỗ để xe rộng. Tầng 2 - 5: Mỗi tầng 4 căn hộ. Tầng 6: 3 căn hộ rộng rãi. Tầng 7: 2 căn hộ + sân phơi. Vị trí đắc địa: Trung tâm quận Hai Bà Trưng, dân cư đông đúc. Gần các trường đại học lớn như: ĐH Xây Dựng, Bách Khoa, Kinh Tế Quốc Dân. Khu vực sầm uất, gần bến xe buýt, tiện ích đầy đủ, cạnh nhà có bãi gửi xe ngày đêm. Ưu điểm nổi bật: Nhà 3 mặt thoáng, tất cả các phòng đều có cửa sổ, tràn ngập ánh sáng tự nhiên. Đường trước nhà ôtô đỗ cửa, chỉ cách mặt phố Minh Khai 10m. Dòng tiền cho thuê cực ổn định, tiềm năng khai thác cao. Giá cực tốt cho nhà đầu tư! Liên hệ ngay để biết thêm chi tiết.",04/11/2024,14/11/2024,"25,5 tỷ",101 m²,7 tầng,23 phòng,Sổ đỏ/ Sổ hồng,N/A,6 m,6 m,23 phòng,N/A,N/A,Tin thường,41109944
Căn hộ 3 phòng ngủ Imperia Sky Garden giá chỉ 7 tỷ VND tại Hai Bà Trưng,"Dự án Imperia Sky Garden, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội","Căn hộ Imperia Sky Garden có giá 7 tỷ VND tại Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội với diện tích 87 m² và 3 phòng ngủ. Thông tin cơ bản. + Pháp lý: Sổ đỏ/ Sổ hồng. + Nội thất: Đầy đủ. + Hướng cửa chính: Tây Nam. + Hướng ban công: Đông Bắc. + Giá: 7 tỷ VND. + Diện tích: 87 m². + Số phòng ngủ: 3, Số toilet: 2. Mô tả căn hộ. + Căn hộ có view xuống nhạc nước, ban công hướng rất mát. + Với thiết kế hiện đại và tiện nghi 3 phòng ngủ đều sáng thoáng + Vị trí thuận lợi, dễ dàng di chuyển đến các khu vực xung quanh. + Cộng đồng dân cư văn minh, an ninh đảm bảo. Liên hệ xem nhà call/zalo  0989 299 ***",01/11/2024,11/11/2024,7 tỷ,87 m²,3 phòng,2 phòng,Đầy đủ,N/A,Tây - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41282069
"Bạch Mai, lô góc 6 tầng thang máy gara 2 oto, 50m2 7m mt giá 15 tỷ","Phố Bạch Mai, Phường Thanh Lương, Hai Bà Trưng, Hà Nội","Phân lô phố Bạch Mai - Trung tâm Q. Hai Bà Trưng. Căn nhà đáp ưng đủ mọi tiêu chí quý Anh Chị. Xây mới 100% - 6 tầng thang máy. DT 50m² với MT 7m. Giá 15 tỷ. Lô góc có mở cửa hông. Tầng 1 gara oto để dc 2 xe oto và 4 xe máy (52m). - Tầng 2 là phòng khách và bếp, tiểu cảnh sân vườn. - Tầng 3 phòng ngủ master thông sàn ban công đua 2 bên. - Tầng 4,5 mỗi tầng 2 phòng ngủ vs khép kín. - Tầng 6 phòng thờ và sân chơi. Nhà hoàn thiện full nội thất cao cấp chỉ việc sách quần áo về ở, thang máy nhập khẩu, thiết bị đồ dùng trong nhà được chủ nhà lựa chọn tinh tế kỹ lưỡng, phù hợp không gian thiết kế kiến trúc. Tặng lại toàn bộ nội thất cho khách. Sđcc, vuông đẹp. Giá 15 tỷ có bớt. Em Quang cam kết thông tin chuẩn 100%. Quý anh chị xem nhà gọi số. 0889 753 *** . Trân trọng.",01/11/2024,11/11/2024,15 tỷ,50 m²,6 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,7 m,5 m,6 phòng,N/A,N/A,Tin thường,41392471
Mua nhà từ móng - giá đầu tư - HK Hai Bà Trưng - cho thuê - hàng xóm Timecity - vô vàn tiện ích,"Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội","Mua nhà từ móng - giá đầu tư - HK Hai Bà Trưng - cho thuê dòng tiền - hàng xóm Timecity - vô vàn tiện ích. Kiếm đâu ra nhà ngõ oto - 10m ra oto đỗ - 40m ra mặt phố - diện tích lớn 52m² - mt lớn 6m. Xung quanh là trường học các cấp 1 - 2 - 3 bán kính 100m. Nhà đẹp đang thi công xây dựng. Nhà thiết kế 4 tầng 1 tum. Thiết kế hiện đại. SDCC giao dịch ngay chào 7,2 tỷ CTL. LH  0379 907 ***  e Hằng nhà đẹp thổ cư - ko tin ảo.",31/10/2024,10/11/2024,"7,2 tỷ",52 m²,5 phòng,6 phòng,Cơ bản,N/A,6 m,5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41263048
Bán nhà 5 tầng dân xây phân lô ô tô ngõ 325 Kim Ngưu thông sang Lạc Trung - Thanh Nhàn 50m2,"Ngõ 325, Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội","Vị trí cực đẹp gần mặt phố, thông sang Lạc Trung Thanh Nhàn. Khu phân lô dân trí cao, ô tô vào nhà. Xung quanh gần trường học rất tiện. Sổ đỏ phân lô vuông vắn 50m² mặt tiền 4,5m. Giá chào: 12.5 tỷ Chủ nhà rất thiện chí bán còn thương lượng. Nhà đẹp ở ngay hộ khẩu Quận Hai Bà Trưng. Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. 0966 841 ***  Em Ngọc hỗ trợ xem nhà chính chủ. Chủ nhà tin tưởng gửi bán. Ngoài ra, em đang quản lý rất nhiều căn nhà đẹp, toà văn phòng, thông tin chính xác, miễn tin ảo. Anh chị vui lòng kết nối Zalo. https://zalo.me/ 0966 841 ***",07/11/2024,17/11/2024,"12,5 tỷ",50 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,N/A,N/A,"4,5 m",5 m,N/A,N/A,N/A,Tin thường,41454300
"Bán nhà 5 tầng dân xây phân lô Lạc Trung, Hai Bà Trưng 50m2 ô tô vào nhà cực vip 13 tỷ","Phố Lạc Trung, Phường Thanh Lương, Hai Bà Trưng, Hà Nội","Bán nhà 5 tầng dân xây phân lô Lạc Trung, 50m², 13 tỷ ô tô vào nhà. Vị trí cực đẹp gần mặt phố, thông sang Lạc Trung. Khu phân lô dân trí cao, ô tô vào nhà. Xung quanh gần trường học rất tiện. Sổ đỏ phân lô vuông vắn 50m² mặt tiền 4,5m. Giá chào 13 tỷ chủ nhà rất thiện chí bán còn thương lượng. Sổ đỏ phân lô đẹp, không lỗi gì, sẵn sàng giao dịch. Nhà đẹp ở ngay hộ khẩu Hai Bà Trưng. 0585 886 ***  Lh Em Nhiên hỗ trợ xem nhà.",07/11/2024,17/11/2024,13 tỷ,50 m²,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"4,5 m",6 m,5 phòng,N/A,N/A,Tin thường,41453664
"Bán CCMN, căn hộ dịch vụ phố Kim Ngưu, 68m2, 7 tầng, 16 phòng, nhà mới đẹp, xem là chốt","Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội","Căn hộ dịch vụ 7 tầng thang máy, 16 phòng khép kín full đồ, doanh thu cao, ngõ thông kinh doanh. Mô tả: + Ngõ thông, phân lô. + CCMN thiết kế 7 tầng thang máy, tổng 16 phòng khép kín full đồ, khách thuê kín full hết các phòng, khách mua về sang tên tiếp tục vận hành thu dòng tiền ổn định. - Tầng 1: Để xe, thang máy, thang bộ, vệ sinh. - Tầng 2,3,4,5,6: 16 phòng(các phòng đều rộng đẹp thiết kế full đồ, không như các CCMN bình dân bí bách). - Tầng 7: Sân phơi rộng. Nhà rất đẹp, ngõ nông rộng, gần ô tô, trong tầm tài chính không có căn thứ 2 trong khu vực. LH: Mr Cao Phương  0982 064 ***  cam kết giá tốt nhất!",06/11/2024,16/11/2024,"15,5 tỷ",68 m²,Sổ đỏ/ Sổ hồng,Đầy đủ.,N/A,N/A,7 tầng,16 phòng,N/A,N/A,N/A,Tin thường,41301694
