Title,Address,Description,Posted Date,Expiry Date,Price,Area,House Direction,Balcony Direction,Bedrooms,Toilets,Frontage,Entrance Width,Number of Floors,Legal Status,Interior,Listing Type,Listing ID
Bán nhà trong phố MT đang cho thuê kinh doanh sầm uất tiện ích tại Hoàn Kiếm Hà Nội LH 0984 891 ***,"Đường Cầu Đất, Phường Chương Dương, Hoàn Kiếm, Hà Nội",Chính chủ cần bán nhanh trong tuần tại phố kinh doanh Cầu Đất Chương Dương Hoàn Kiếm Hà Nội. Nhà đang cho thuê gần 20 triệu/tháng. Đảm bảo dòng tiền đều thắng lợi ngay quý AC quan tâm vui lòng lh  0984 891 *** . Mua là thắng. Nhập là lãi. Giá rẻ nhất khu vực.,11/11/2024,21/11/2024,"16,8 tỷ","70,4 m²",3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,N/A,"3,2 m",10 m,2 phòng,N/A,N/A,Tin VIP Vàng,41492202
"Chính chủ cần bán nhà mặt phố chợ Đồng Xuân, đối diện chợ đồng xuân, đang KD ngày đêm, 58.5m2","Phố Đồng Xuân, Phường Đồng Xuân, Hoàn Kiếm, Hà Nội.","Chính chủ bán nhà mặt phố Đồng Xuân, Hoàn Kiếm, Hà Nội. - Kinh doanh sầm uất! - Vị trí: Mặt phố Đồng Xuân, Quận Hoàn Kiếm, Hà Nội. - Diện tích: 58,5m². - Đối diện chợ Đồng Xuân - trung tâm thương mại nhộn nhịp. - Khu vực an ninh tốt, mang đậm chất Hà Nội cổ kính. - Sẵn sàng giao dịch ngay! Liên hệ: Chị Hà  0918 434 ***",06/11/2024,16/11/2024,Thỏa thuận,"58,5 m²",N/A,N/A,N/A,N/A,1 tầng,"Giấy tờ đầy đủ, pháp lý rõ ràng.",N/A,N/A,N/A,Tin VIP Vàng,39913293
Chính chủ bán khách sạn 10 tầng số 5 + số 7 Cửa Đông,"Số 7, Phố Cửa Đông, Phường Cửa Đông, Hoàn Kiếm, Hà Nội","Chính chủ bán khách sạn 10 tầng số 5 + số 7 Cửa Đông, Phường Cửa Đông, quận Hoàn Kiếm, Hà Nội: - Diện tích 158 m², mặt tiền 8.6m, nở hậu 8.7m. - Đặc điểm: Khách sạn xây năm 2022, gồm 10 tầng, 38 phòng, 2 thang bộ, 2 thang máy tầng 1: Lễ tân và spa, tầng 10 phòng ăn. - Pháp lý: Nhà 1 sổ đỏ, giao dịch được ngay. Giá bán: 248 tỷ. Liên hệ: Chính chủ  0901 726 *** . Không hợp tác với các sàn Bất động sản. Với môi giới thông thường đồng ý trích thưởng 0,5%. Đề nghị các báo, đơn vị quảng cáo không gọi điện mời chào!",05/11/2024,12/11/2024,248 tỷ,158 m²,Nhà 1 sổ đỏ,N/A,N/A,N/A,"8,6 m",10 tầng,N/A,N/A,N/A,Tin VIP Vàng,38723484
"Bán nhà mặt phố Hàng Cót, Hàng Mã, Hoàn Kiếm. DT 200m2*mt 16.22m*6t thang máy, lô góc - vỉa hè rộng","Phố Hàng Cót, Phường Hàng Mã, Hoàn Kiếm, Hà Nội","Mặt phố - lô góc - vỉa hè rộng - kinh doanh - không lỗi phong thuỷ - thang máy. + Nhà xây 6 tầng diện tích 200.1m² mặt tiền 16.22m cực khủng mặt phố ngay ngã tư Hàng Cót - Hàng Mã, vỉa hè rộng, kinh doanh siêu đỉnh. Nằm trên mặt phố cổ, giao thông sầm uất, kinh doanh gì cũng thuận lợi, hưởng toàn bộ không gian 36 phố phường của Hà Nội. + Khách mua về ở, kinh doanh ngay, nhà 6 tầng thang máy đã hoàn công đầy đủ xe, + Vị trí đẹp, vỉa hè rộng, lô góc. Hiện đang cho thuê 400tr/tháng. + Đặc biệt ngôi nhà có lịch sử rất khủng, từng là tài sản của Nhà ngoại giao Nguyễn Mạnh Cầm bán cho bạn cũng là Giáo sư, Tiến sĩ con cái thành đạt, định cư nước ngoài nên không còn nhu cầu sử dụng. + Sổ đỏ đầy đủ pháp lý rõ ràng, chủ nhà lịch sự thiện chí bán, giá có thương lượng cho khách thiện trí mua. + Liên hệ em Xuân Tản  0902 260 ***  để xem nhà và làm việc chính chủ.",10/11/2024,20/11/2024,"161,5 tỷ","200,1 m²",6 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"16,22 m",25 m,4 phòng,N/A,N/A,Tin thường,41482920
Bán toà nhà vip mặt Phố Huế - Hoàn Kiếm 250m2 cực đẹp ngay ngã tư Trần Hưng Đạo gần Hồ Gươm,"Phố Phố Huế, Phường Hàng Bài, Hoàn Kiếm, Hà Nội","Tòa nhà nằm ngay cạnh Tràng Tiền Plaza cách Hồ Gươm 100m. Vị trí đắc địa thật hiếm nhà bán. Tòa nhà xây sẵn hiện cho ngân hàng thuê tầng 1,2,3,4. Bên trên cho khách Tây thuê căn hộ vip. Sổ đỏ khá vuông vắn. Hiện pháp lý 2 sổ 1 chủ sẵn sàng giao dịch không vướng mắc gì. Mặt tiền gần 7m rộng đẹp nhất đoạn phố. DT: 250 m². Giá: 179 tỷ. Chủ rất thiện chí bán. LH e Nhiên  0585 886 ***  gặp và làm việc trực tiếp chủ. Hỗ trợ xem nhà miễn phí.",09/11/2024,19/11/2024,179 tỷ,250 m²,10 phòng,Sổ đỏ/ Sổ hồng,N/A,N/A,7 tầng,10 phòng,Đầy đủ,N/A,N/A,Tin thường,40671516
"Chính chủ bán căn góc tầng 4 chung cư mặt phố Vọng Hà, phường Chương Dương, quận Hoàn Kiếm","Đường Vọng Hà, Phường Chương Dương, Hoàn Kiếm, Hà Nội","Chính chủ bán căn góc tầng 4 chung cư mặt phố Vọng Hà ( Hàm Tử Quan) , phường Chương Dương, quận Hoàn Kiếm. - Diện tích trên sổ 33,2m². Diện tích sử dụng 37m². Thiết kế 1 ngủ, 1 khách, 1 wc, 2 ban công. Nội thất nguyên bản. Sổ đỏ chính chủ. - Nhà cách Hồ Gươm 500m, sát chợ Hồng Hà, gần trường Mầm non, trường Tiểu học, trường THCS Chương Dương. - Giá bán: 2,5 tỷ. - Liên hệ chính chủ: A Duy  0975 378 ***",02/11/2024,12/11/2024,"2,5 tỷ",37 m²,Sổ đỏ/ Sổ hồng,Không nội thất,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin thường,41404465
"Cách hồ vài bước. Khách sạn - Apartmant Hàng Bông, phường Hàng Bông, quận Hoàn Kiếm","Phố Hàng Bông, Phường Hàng Bông, Hoàn Kiếm, Hà Nội","Khách sạn 10 tầng có hầm phố Hàng Bông. DT 162.5m² x 10 tầng nội thất đẹp, mô hình khách sạn, apartment. - Kênh này được tạo ra nhằm làm cho bạn: Hài lòng với quyết định trọng đại của chính mình! - Nơi cung cấp trải nghiệm thật, luôn nỗ lực mang đến sự tiết kiệm, hiệu quả, tin cậy cho khách hàng chính nghĩa. - Chúng tôi luôn đặt mình vào vị trí của bạn để cung cấp những giải pháp tối ưu mang tính chiến lược cho mục tiêu dài hạn của anh chị cô chú. Liên hệ tôi nếu bạn có bất cứ thắc mắc hay cần sự hỗ trợ nào. Tùng Lâm bất động sản chiến lược  0948 332 *** . Email:  Batdongsanchienluoc@gmail.com",07/11/2024,07/12/2024,165 tỷ,"162,5 m²",Tây - Bắc,10 tầng,Đầy đủ,N/A,25 m,Tây - Bắc,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,40348624
Bán toà nhà mặt Phố Huế sổ 250m2 tin thật 100% ngã tư Hàng Bài mặt tiền siêu rộng,"Phố Phố Huế, Phường Hàng Bài, Hoàn Kiếm, Hà Nội","Toà nhà siêu đẹp mặt Phố Huế nằm ngay ngã tư Hàng Bài & Trần Hưng Đạo đoạn vỉa hè rộng đẹp nhất phố. 200m ra Hồ Gươm phố Hàng Khay - Tràng Tiền Plaza. Nhà bên dãy lẻ thuận đường. Vị trí cực đắc địa, thửa đất vuông vắn không lỗi phong thuỷ, không vướng hố ga, tủ điện, cây. Hiện trạng 2 sổ đỏ 1 chủ sẵn sàng giao dịch. Chủ nhà là chủ doanh nghiệp uy tín, hiện đang cho ngân hàng thuê cực vip, chủ mới có thể lấy lại nhà. Em Nhiên đưa thông tin chính xác, tận tâm, uy tín tránh mất thời gian của anh/chị. LH  0585 886 ***  E Nhiên hỗ trợ xem nhà. Gặp anh Long chủ nhà.",05/11/2024,15/11/2024,181 tỷ,250 m²,9 tầng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,7 m,Tây - Bắc,11 phòng,N/A,N/A,Tin thường,41054739
"Bán nhà 22 Phố Huế - phường Hàng Bài, DT 42/55m2 x 7T thang máy - dòng tiền 80tr/th","22, Phố Phố Huế, Phường Hàng Bài, Hoàn Kiếm, Hà Nội","Bán nhà mặt phố 22 Phố Huế, phường Hàng Bài, quận Hoàn Kiếm. Nhà đẹp 7 tầng. Sổ đỏ 42m², thực xây 55m² - nội thất đẹp, điều hòa âm trần, kiến trúc thông sàn hiện đại, giá 52 tỷ. - Kênh này được sinh ra nhằm làm cho bạn: Hài lòng với quyết định trọng đại của chính mình! - Nơi cung cấp trải nghiệm thật, luôn nỗ lực mang đến sự tiết kiệm, hiệu quả, tin cậy cho khách hàng chính nghĩa. - Chúng tôi luôn đặt mình vào vị trí của bạn để cung cấp những giải pháp tối ưu mang tính chiến lược cho mục tiêu dài hạn của anh chị cô chú. LH Tùng Lâm BĐS chiến lược  0948 332 *** . Mail:  Batdongsanchienluoc@gmail.com",04/11/2024,04/12/2024,52 tỷ,55 m²,Đông - Nam,Đông - Nam,4 phòng,5 phòng,"4,4 m",30 m,7 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tin thường,40992599
"MP Phố Huế, phường Hàng Bài, quận Hoàn Kiếm, ngân hàng thuê, cách hồ ít phút","Phố Phố Huế, Phường Hàng Bài, Hoàn Kiếm, Hà Nội","- Ngày trước chào 200 tỷ, mãi không bán được nên hạ còn 165 tỷ để bán nhanh còn làm việc khác. DT 251m² x 7 tầng, mặt tiền 6.6m. - Nơi cung cấp trải nghiệm thật, luôn nỗ lực mang đến sự tiết kiệm, hiệu quả, tin cậy cho khách hàng chính nghĩa. - Kênh này được tạo ra nhằm làm cho bạn: Hài lòng với quyết định trọng đại của chính mình! LH Tùng Lâm BĐS Chiến Lược  0948 332 *** . Batdongsanchienluoc@gmail.com",30/10/2024,29/11/2024,165 tỷ,251 m²,Tây,Tây,N/A,N/A,"6,6 m",50 m,7 tầng,N/A,N/A,Tin thường,40079968
