Title,Address,Description,Posted Date,Expiry Date,Price,Area,House Direction,Balcony Direction,Bedrooms,Toilets,Frontage,Entrance Width,Number of Floors,Legal Status,Interior,Listing Type,Listing ID
Bán gấp nhà ngõ 42 Sài Đồng 58m2 - hơn 9 tỷ full nội thất sang xịn - mặt ngõ oto - sát hồ Sài Đồng,"Ngõ 42, Phố Sài Đồng, Phường Sài Đồng, Long Biên, Hà Nội","Bán gấp nhà ngõ 42 Sài Đồng 58m² - hơn 9 tỷ. Full nội thất sang xịn - mặt ngõ oto - vài bước ra hồ sai đồng. Căn nhà xây tâm huyết, với 1 vị trí đẹp nhất Sài Đồng, dân xây tỉ mỉ, nhà full nội thất sang xịn từ tầng 1 lên tầng 5, hệ thống điện điều khiển thông minh, thiết bị tiện nghi đầy đủ không thiếu gì gồm: Điều hòa các phòng, máy giặt, máy rửa bát, bình nóng lạnh, tủ lạnh, bàn ghế, giường tủ. - Nhà 58m². - 5 Tầng. - Mặt tiền 4m. - Full tiện ích. - Full nội thất. - Ngõ ô tô. - Giá hơn 9 tỷ. Sổ đỏ vuông, pháp lý chuẩn. Lh  0961 011 ***  em Hùng chuyên nhà đẹp Long Biên.",04/11/2024,14/11/2024,"9,2 tỷ",58 m²,5 phòng,5 phòng,"Thiết bị tiện nghi đầy đủ không thiếu gì gồm: Điều hòa các phòng, máy giặt, máy rửa bát, bình nóng lạnh, tủ lạnh, bàn ghế, giường tủ.",N/A,4 m,5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41304566
Tôi cần bán căn nhà Sài Đồng hơn 8 tỷ - 50m2 MT5m 5 tầng - phân lô - ô tô tránh - dân xây - ở sướng,"Phường Sài Đồng, Long Biên, Hà Nội","Tôi cần bán căn nhà Sài Đồng hơn 8 tỷ - 50m² - mặt tiền 5m - 5 tầng - phân lô - ô tô tránh - dân xây. Căn nhà nằm ở vị trí quá đẹp, phân lô víp, là sự tồn lại duy nhất ở Long Biên. + 50m² - mặt tiền 5m. + 4 Ngủ, 5 Wc. + 3 Bước ra hồ điều hoà. + Ngập tràn tiện ích, ở sướng. - Pháp lý: Sổ đỏ chính chủ, phân lô vuông vắn. Thửa đất đẹp, Mặt tiền hoành tráng.",11/11/2024,21/11/2024,"8,5 tỷ",50 m²,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,5 m,9 m,5 phòng,N/A,N/A,Tin thường,41372357
Bán nhà Thạch Bàn - phân lô - gara ô tô - kinh doanh - lô góc 50m2 - 5 tầng chỉ 12.955 tỷ,"Thạch Bàn, Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội","+ Nhà có vị trí đẹp nhất khu vực, sát chợ Thạch Bàn - Tiện ích bạt ngàn - Thích hợp Kinh Doanh mọi lĩnh vực. + Tương lai tăng giá X1.5 lần. Ô tô dừng đỗ cạnh nhà ngày đêm. + Thiết kế 5 tầng dân xây cực chắc chắn: - Tầng 1: Gara ô tô - Kinh doanh bất chấp. - Tầng 2: Phòng khách hiện đại. - Tầng 3: Phòng ngủ rộng + Wc khép kín. - Tầng 4: 2 Phòng ngủ + Wc. - Tầng 5: Phòng thờ + Sân phơi. + Sổ đỏ phân lô Hoa hậu giao dịch ngay. Liên hệ Mr Khích 24/24 để được xem nhà và tư vấn pháp lý và thủ tục miễn phí.",12/11/2024,22/11/2024,"12,96 tỷ",50 m²,4 phòng,Sổ đỏ/ Sổ hồng.,N/A,N/A,5 tầng,3 phòng,N/A,N/A,N/A,Tin thường,41417017
Bán nhà chính chủ nhiều tiện ích,"Ngõ 565, Đường Bát Khối, Phường Cự Khối, Long Biên, Hà Nội","Nhu cầu cần chuyển nhà to. Chính chủ cần bán căn nhà 5 tầng CN30.7m², diện tích thực tế sử dụng 35m² tại ngõ 565 Bát Khối gara ô tô đỗ cách 10 mét ngõ rộng. Xung quanh nhiều tiện ích gần các trường cấp 1,2,3 bệnh viện lớn. Tâm anh, hàng xóm văn minh thân thiện. Tầng 1 p khách, bếp toilet. Tầng 2,3,4 mỗi tầng 1 ngủ toilet khép kín. Tầng 5 p thờ sân phơi. Nhà mới xây 1 năm vẫn mới chỉ việc mang vali về ở. Ưu tiên khách thiện chí gia chủ (có gia Lộc) và để lại toàn bộ đồ nội thất các phòng gồm. Nóng lạnh điều hòa, bếp từ cao cấp, các p thiết kế nội thất tủ gắn tường kệ tivi các p riêng biệt chắc chắn. Sổ đỏ chính chủ. Liên hệ xem nhà trực tiếp e Dũng chủ nhà. (ảnh chụp 100%).",12/11/2024,22/11/2024,7 tỷ,35 m²,Tây - Bắc,Tây - Bắc,3 phòng,4 phòng,"3,3 m","3,5 m",5 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,Tin thường,41408831
Shophouse H2 - TM4 Hope Residence Nguyễn Lam. View vườn hoa,"Dự án Hope Residence, Đường Chu Huy Mân, Phường Phúc Đồng, Long Biên, Hà Nội","Mô tả: + Căn Shophouse 2 tầng tòa H2 dự án Hope Residence với 5 tòa chung cư tổng số hơn 1.500 căn hộ rất đông đúc kinh doanh phục vụ nội khu rất đông khách. + Căn Shophouse View vườn hoa nội khu vị trí đẹp, chủ đang cho thuê hair salon tóc, thời hạn hợp đồng 3 năm, đã đầu tư nội thất rất nhiều tiền, chủ bán kèm điều kiện nối tiếp hợp đồng đồng với người đang thuê. + Sổ đỏ cất két sẵn sàng giao dịch. Giá 9 tỷ. Anh chị quan tâm LH e tư vấn thêm ạ:  0988 310 ***",12/11/2024,22/11/2024,9 tỷ,146 m²,N/A,N/A,N/A,N/A,2 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,Tin thường,41335137
"Căn hộ 74.7m2, 2PN, 2WC, nội thất đầy đủ, vị trí vàng KĐT Việt Hưng, Long Biên","Dự án Việt Hưng, Phường Giang Biên, Long Biên, Hà Nội","Cuộc sống tiện nghi ngay tại căn hộ mơ ước. Căn hộ 74.7m², 2PN, 2WC, nội thất đầy đủ, vị trí vàng! Tận hưởng không gian sống hiện đại với đầy đủ tiện ích: Nội thất mới tinh: Tủ bếp, 3 điều hòa, bình nóng lạnh, sàn gỗ, sofa... Vị trí đắc địa: Gần trường học, bệnh viện, chợ, công viên, xe bus. Tầng cao, view đẹp, không khí trong lành. An ninh 24/7, cư dân văn minh. Còn chần chờ gì nữa, sở hữu ngay căn hộ mơ ước để tận hưởng cuộc sống tiện nghi! Liên hệ xem nhà:  0972 308 *** Mr. Nam).",04/11/2024,14/11/2024,"3,2 tỷ","74,7 m²",2 phòng,2 phòng,Đầy đủ.,N/A,Đông,Tây,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41415479
"Bán căn hộ 84,5m2 (2PN + 1) tại Le Grand Jardin - Sài Đồng, Long Biên, Hà Nội. Giá chỉ 4,8 tỷ VNĐ","Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội","Bán căn hộ 84.5m² tòa L2 dự án Le Grand Jardin - Sài Đồng. Giá: 4 tỷ 850 (bao thuế phí). Thông tin cơ bản. * Pháp lý: Sổ hồng lâu dài/ Hợp đồng mua bán. * Nội thất: Cơ bản. * Hướng cửa chính: Đông Nam, Tây Bắc, Tây Nam. * Hướng ban công: Đông Nam, Tây Nam, Đông Bắc. * Giá: 4,850 tỷ VND. * Diện tích: 85m². * Số phòng ngủ: 3. * Số toilet: 2. Liên hệ ngay để biết thêm thông tin chi tiết về căn hộ này:  0947 065 ***  Đạt Trần.",11/11/2024,21/11/2024,"4,85 tỷ","84,5 m²",3 phòng,2 phòng,Cơ bản,N/A,Đông - Bắc,Đông - Nam,Hợp đồng mua bán,N/A,N/A,Tin thường,41490171
"Hàng hiếm căn góc tại Le Grand Jardin Sài Đồng. Căn hộ 97m2 3 pn + 2vs giá 5,9 tỷ. Đầy đủ nội thất","Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội","Căn hộ 3PN - 2VS tại tòa G chung cư Le Grand Jardin - Sài Đồng chỉ với giá 5,9 tỷ. ---- Thông tin cơ bản. * Pháp lý: Sổ hồng lâu dài. * Nội thất: Cơ bản. * Hướng cửa chính: Đông Nam, Tây Bắc, Tây Nam. * Hướng ban công: Đông Nam, Tây Nam, Đông Bắc. * Giá: 5,9 tỷ VNĐ. * Diện tích: 97m². * Số phòng ngủ: 3. * Số toilet: 2. Liên hệ ngay để biết thêm thông tin chi tiết về căn hộ này:  0947 065 ***  Đạt Trần.",11/11/2024,21/11/2024,"5,9 tỷ",97 m²,3 phòng,2 phòng,Đầy đủ,N/A,Đông - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41490559
"Chỉ 4.1 tỷ sở hữu căn góc 3 ngủ 85.8m2 full nội thất & điện tử, có sổ đẹp nhất Eco City Việt Hưng","Dự án Eco City Việt Hưng, Phường Giang Biên, Long Biên, Hà Nội","* Thông tin căn hộ. - Căn góc diện tích 85.8m², thiết kế 3 phòng ngủ, 2WC. - Ban công diện tích 3,5m². - Phòng khách + bếp thoáng rộng: 36m² + vệ sinh chung: 3,5m². - Phòng ngủ 1: 12m² + vệ sinh riêng: 3,85m². - Phòng ngủ 2: 12m². - Phòng ngủ 3: 10m². - Căn hộ ở tầng trung, view thoáng mát. Tất cả các phòng đều đón ánh sáng tự nhiên. - Bàn giao full nội thất cao cấp: Trần thạch cao; sàn gỗ; thiết bị vệ sinh đầy đủ, có bình nóng lạnh và vách tắm đứng; đèn chiếu sáng; tủ bếp trên + dưới, bếp từ, hút mùi hafele, điều hòa 2 chiều mitsubishi, tủ quần áo, bàn ghế... - Hình thức sở hữu: Sổ hồng lâu dài. - Mức giá hấp dẫn: Chỉ 4.1 tỷ. * Hotline tư vấn: Ms Tuyết:  0988 040 *** . * Thông tin dự án Eco City Việt Hưng. - Chủ đầu tư: Công Ty TNHH Thiên Hương. - Địa chỉ: Lô CT - 21B Khu Đô Thị Mới Việt Hưng - Phường Giang Biên - Long Biên - HN. - Quy mô: 4 Tòa Tháp, (Tòa A, C Cao 17 Tầng. Tòa B, D cao 8 tầng). - Vị trí trung tâm quận Long Biên, gần kề Vinhomes Riverside, thuộc KĐT Việt Hưng nên hưởng lợi từ không gian nhiều cây xanh, thoáng mát cũng như các tuyến đường giao thông thuận lợi kết nối tới các khu vực nội thành Hà Nội chỉ trong 5 - 10p. - Bán kính 1 - 5 km: Gần bệnh viện Đức Giang, bệnh viện quốc tế Vinmec, trường học công cũng như quốc tế BIS, Wellspring, TTTM Aeon mall Vincom LB, Big C. - Tiện ích 5 sao đồng bộ phục vụ cư dân như bể bơi, gym, Highland Coffee, Winmart. * Liên hệ em ngay để nhận tư vấn và xem căn hộ thực tế: Ms Tuyết:  0988 040 ***   0978 150 ***",10/11/2024,20/11/2024,"4,1 tỷ","85,8 m²",Sổ đỏ/ Sổ hồng,"Bàn giao full nội thất cao cấp: Trần thạch cao; sàn gỗ; thiết bị vệ sinh đầy đủ, có bình nóng lạnh và vách tắm đứng; đèn chiếu sáng; tủ bếp trên + dưới, bếp từ, hút mùi hafele, điều hòa 2 chiều mitsub",N/A,N/A,3 phòng,2 phòng,N/A,N/A,N/A,Tin thường,40667688
"Tôi cần bán căn 3 ngủ 83.4m2 tòa G tầng trung, giá 5 tỉ bao phí","Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội","Tôi cần bán gấp căn hộ 3 ngủ 83.4m² (thông thủy). - Tòa G đẹp nhất dự án. - Ban công hướng mát view cực thoáng. - Nhà thuộc tầng trung, đẹp. - Sổ đỏ chính chủ, đang cất két, không vay mượn hay thế chấp gì. - Nội thất như hình: Điều hòa, nóng lạnh, vệ sinh, hệ thống bếp và tủ bếp trên dưới, giường tủ... - Giá bán 5 tỉ bao phí. - Liên hệ  0986 010 ***",05/11/2024,15/11/2024,5 tỷ,"83,4 m²",Sổ đỏ/ Sổ hồng.,"Nội thất như hình: Điều hòa, nóng lạnh, vệ sinh, hệ thống bếp và tủ bếp trên dưới, giường tủ...",N/A,N/A,3 phòng,2 phòng,N/A,N/A,N/A,Tin thường,39452751
