Title,Address,Description,Posted Date,Expiry Date,Price,Area,House Direction,Balcony Direction,Bedrooms,Toilets,Frontage,Entrance Width,Number of Floors,Legal Status,Interior,Listing Type,Listing ID
"(Duy nhất) bán căn hộ 112m2, 3PN, full đồ cửa TN, ban công ĐB, tại The Matrix One, giá 9,69 tỷ","Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.","Chủ nhà cần bán gấp căn hộ tại The Matrix One - Lê Quang Đạo - Mễ Trì. - Giá bán: 9,69 tỷ. - Diện tích: 112m². - Thiết kế căn hộ gồm: + 3 phòng ngủ, 2 vệ sinh. + Hướng cửa: Tây Nam. + Ban công: Đông Bắc. + Nội thất full đồ. - Tình trạng: Sổ đỏ. Liên hệ:  0962 636 ***",06/11/2024,16/11/2024,"9,69 tỷ",112 m²,3 phòng,2 phòng,N/A,N/A,Tây - Nam,Đông - Bắc,Đầy đủ.,N/A,N/A,Tin thường,41448201
"Thủ tục nhanh gọn chính chủ bán gấp căn hộ 2N2WC tại The Tonkin giá tốt 3,9 tỷ full đồ","Dự án The Tonkin - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.","Chính chủ cần bán căn hộ The Tonkin tại Vinhomes Smart City. Diện tích: 64,5m². Giá cực tốt: 3,9 tỷ. Full đồ xịn. Vị trí rất đẹp. Tòa nhà nằm gần Parking Zone 3, zone 4 rất thuật tiện cho nhà có sử dụng ô tô. Gần công viên trung tâm. Rất nhiều tiện ích hấp nhân cư dân The Tonkin được sử dụng miễn phí. Gọi trước cho tôi 2 tiếng để xem căn hộ, tôi tên là Duy:  0386 749 ***",07/11/2024,17/11/2024,"3,9 tỷ","64,5 m²",HĐMB,Đầy đủ Full đồ xịn.,N/A,N/A,2 phòng,2 phòng,N/A,N/A,N/A,Tin thường,39425233
"Tôi cần bán chung cư Phùng Khoang căn góc 104m2, 3 ngủ, 2VS nhỉnh 4 tỷ","Dự án Phùng Khoang, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội","+ Bán chung cư Phùng Khoang căn góc 104m², 3 ngủ, 2VS chỉ 4.3 tỷ (có thương lượng). + Thiết kế hiện đại đầy đủ công năng của 1 gia đình hiện đại, gồm 1 phòng khách, 3 ngủ, 2VS và 1 phòng tiện ích. + Nhà căn góc nên phòng nào cũng có cửa sổ rộng, ngập tràn anh sáng, view đẹp. + Vị trí đắc địa, ngay gần nút giao Khuất Duy Tiến, Tố Hữu, Lê Văn Lương di chuyển thuận tiện. + Tiện ích xung quanh không thiếu thứ gì, chợ, trường học các cấp bán kính 1km. + Sổ đỏ sở hữu lâu dài khách có thể vay ngân hàng. + Liên hệ xem nhà: Mr Hiếu:  0984 262 *** miễn trung gian).",12/11/2024,27/11/2024,"4,3 tỷ",104 m²,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,3 phòng,2 phòng,N/A,N/A,N/A,Tin thường,41504943
Độc quyền! 1 căn còn sót lại tại Imperia Smart City - view hồ 3PN giá chỉ 5.15 tỷ Đông Bắc-Đông Nam,"Dự án Imperia Smart City, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.","Độc quyền! 1 căn còn sót lại tại Imperia Smart City - view hồ 3PN giá chỉ 5.15 tỷ Đông Bắc - Đông Nam. LH: Hà Thuyết - Môi giới BĐS chuyên nghiệp với 10 năm kinh nghiệm - Miễn phí tư vấn. - Diện tích: 76m², căn 3PN, 2VS. - Vị trí thuận lợi: Ngay đường trục chính của dự án, ngay cạnh đường Lê Trọng Tấn - Hà Đông và Đại lộ Thăng Long. Cách sân vận động quốc gia Mỹ Đình 7 phút di chuyển. Đã có sổ, pháp lý rõ ràng, GD trong tháng 8. - Giá bán: 5,150 tỷ. LH: Hà Thuyết - Môi giới BĐS chuyên nghiệp với 10 năm kinh nghiệm.",30/10/2024,29/11/2024,"5,15 tỷ",76 m²,3 phòng,2 phòng,Đầy đủ,N/A,Đông - Bắc,Đông - Nam,"Đã có sổ, pháp lý rõ ràng, GD trong tháng .",N/A,N/A,Tin thường,40746917
"Chính chủ bán nhà Tây Mỗ, ô tô đỗ gần, ngõ trước nhà 3m, DT 43m, 4 tầng, chỉ 5.2 tỷ. LH: 0973 561 ***","Đường 70, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","Chính chủ bán nhà Tây Mỗ, ô tô đỗ gần, ngõ trước nhà rộng 3m, 2 mặt thoáng trước và sau, nên nhà rất thoáng và mát, DT 43m², 4 tầng, chỉ 5.2 tỷ. Lh:  0973 561 *** - Nhà tại trung tâm làng Miêu Nha phường Tây Mỗ, cách trường mầm non, cấp 1,2 Lý Nam Đế và chợ Miêu Nha chỉ 300m, xung quanh là nhiều khu đô thị lớn như Vinhomes Smart City, Xuân Phương, Lumi, tương lai nhà cách đường lớn rộng 30m thông từ đường 70 sang đường Vành Đai 3,5 chỉ 30m. - Thiết kế: 4 tầng độc lập mới cứng, đầy đủ công năng, 2 mặt thoáng trước sau, nhà ở rất thoáng và mát. - Diện tích: 43m². - Giá: Chỉ 5.2 tỷ (có thương lượng). - Sổ đỏ chính chủ, sẵn sàng giao dịch. - Gọi gấp Em Dưỡng chủ nhà:  0973 561 ***",12/11/2024,22/11/2024,"5,2 tỷ",43 m²,4 tầng,"- Sổ đỏ chính chủ, sẵn sàng giao dịch.",N/A,N/A,"3,1 m",3 m,Cơ bản,N/A,N/A,Tin thường,41053039
"Keangnam 118.75m2, 3PN ban công ĐN tầng đẹp, nhà đầy đủ nội thất mới vào ở được ngày xem nhà dễ","Dự án Keangnam, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội","Diện tích 118.75m². Tầng đẹp. 3 ngủ, 2 WC. Giá 8.5 tỷ. Sổ đỏ chính chủ. Xem nhà 24/7. Xem nhà liên hệ em Hưởng:  0968 862 ***",19/10/2024,18/11/2024,"8,5 tỷ","118,75 m²",3 phòng,2 phòng,Đầy đủ,N/A,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,40803614
"Chính chủ bán căn KeangNam 158.4m2 4 ngủ view sân vận động, nội thất mới cao cấp xem nhà 24/7","Dự án Keangnam, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội","Diện tích 158.4m², 4 ngủ 3WC. Tầng đẹp view sân vận động. Hướng cửa ĐB ban công T - ĐN. Giá 12.5 tỷ. Nội thất mới 100%. Có slot ô tô. Ảnh cam kết thật 100%. Anh chị đi xem nhà liên hệ em Hưởng:  0968 862 ***",05/11/2024,15/11/2024,"12,5 tỷ","158,4 m²",4 phòng,3 phòng,Đầy đủ,N/A,Đông - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,40739766
"CC bán Masteri: 1PN + 46.5m2, 2.85 tỷ bao phí, full đồ đầu tư 250tr, sẵn sổ (DTTT 41.94m2)","Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Mình chốt lời đầu tư cần thanh khoản nhanh căn 1PN + tòa D - chung cư cao cấp Masteri West Heights - Vinhome Smart City Tây Mỗ. DT sử dụng: 41.94m². Nội thất: Đầy đủ đồ chỉ thiếu chủ mới. Hướng: Đông Nam. Giá bán: 2.85 tỷ bao thuế phí. Alo mình để xem nhà: A Trung  0981 241 ***,09/11/2024,24/11/2024,"2,85 tỷ","41,94 m²",1 phòng,HĐMB,N/A,N/A,Đông - Nam,1 phòng,N/A,N/A,N/A,Tin thường,40876854
"Chính chủ bán căn 1N + tòa S1 tầng trung view đẹp, NT full, BC hướng ĐN, DT 42,9m2. Giá 2,6 tỷ nét","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","Gia đình cần chuyển căn rộng hơn nên bán căn 1PN + Diện tích 42.9m² thuộc vị trí toà S1 là toà hoa hậu đẹp nhất trong các toà cạnh khu vui chơi trung tâm hồ điều hoà, hướng Đông Nam cực mát. Nhà mới đẹp 100% vừa hoàn thiện xong giá bán 2.6 tỷ đảm bảo rẻ nhất thị trường hiện tại. Bàn giao: Bàn tủ bếp đầy đủ, nóng lạnh, sàn, thiết bị vệ sinh, điều hoà. Hình ảnh thực tế. Cam kết thông tin chính xác đảm bảo khách hàng qua xem ưng ngay. Nhà mình rất dễ tính có gia lộc cho khách hàng thiện chí. - Mời khách hàng qua xem nhà miễn phí  0962 215 ***",29/10/2024,14/11/2024,"2,6 tỷ","42,9 m²",1 phòng,1 phòng,"Đầy đủ bàn tủ bếp đầy đủ, nóng lạnh, sàn, thiết bị vệ sinh, điều hoà.",N/A,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng.,N/A,N/A,Tin thường,40721456
Bán gấp căn hộ 3N2VS diện tích 76m2 tòa I3 Vinhomes Smart City,"Dự án Imperia Smart City, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","Anh chủ nhà gửi bán ngay căn 3PN2VS, full nội thất CDT, vị trí đẹp toà Imperia, Vinhomes Smart City. - Diện tích thông thủy: 76m². - Căn 3pn + 2vs, các mặt thoáng, phòng có ánh sáng tự nhiên rất thoáng. - Tầng trung đẹp, view đẹp, hướng mát. Nhà mới sạch. Giá bán: 4,550 tỷ có thương lượng. - Liên hệ xem nhà: A Tuấn  0985 273 ***",03/11/2024,13/11/2024,"4,55 tỷ",76 m²,3 phòng,2 phòng,Cơ bản,N/A,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,40991420
