Title,Address,Description,Posted Date,Expiry Date,Price,Area,House Direction,Balcony Direction,Bedrooms,Toilets,Frontage,Entrance Width,Number of Floors,Legal Status,Interior,Listing Type,Listing ID
"Căn góc 3 ngủ - Sunshine Riverside - view sông Hồng, cầu Nhật Tân - 83,8m2 2 mặt thoáng - cao tầng","Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội","Bán căn góc - 3 ngủ - view sông Hồng + Cầu Nhật Tân - giá: 6.5 tỷ (full đồ đẹp). + Tầng cao view Thoáng. + 83,8m² thông thủy. + 3 ngủ + 2WC. + Căn góc 2 mặt thoáng. + Full nội thất. + View sông Hồng cầu Nhật Tân. Giá: 6.5 tỷ (sổ đỏ). Nội thất cao cấp: Điều hòa âm trần, khóa cửa thông minh, TBVS Kohler, thiết bị bếp Hafele, sàn gỗ, đèn chùm, smarthome 4.0,... Liên hệ xem nhà: 0966 470 ***",10/11/2024,20/11/2024,"6,5 tỷ","83,8 m²",Sổ đỏ/ Sổ hồng,Đầy đủ.,N/A,N/A,3 phòng,2 phòng,N/A,N/A,N/A,Tin thường,41376893
Quỹ căn duplex 2 tầng tại Pentstudio Lạc Long Quân Tây Hồ giá tốt nhất,Parkiara,"Quỹ căn duplex 2 tầng thông phòng khách mới nhất tại tòa Pentstudio Lạc Long Quân: Căn 58m view khu vườn đào. Giá: 4,5-5 tỷ. Đang cho thuê từ 15 - 18tr/ tháng. Căn 76m view hồ Tây. Giá: 5,8 - 6,7 tỷ. Đang cho thuê từ 20 - 26tr/tháng. Căn 76m view cầu Nhật Tân. Giá: 6 - 6,4 tỷ. Đang cho thuê từ 20 - 25tr/tháng. LH xem nhà: 0936 997 ***",05/11/2024,13/11/2024,"6,3 tỷ",76 m²,1 phòng,2 phòng,Đầy đủ nội thất cao cấp.,N/A,Đông,Tây,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin VIP Kim Cương,41437290
"CĐT mở bán 10 căn Căn Ngoại Giao 3 - 4 PN cuối cùng dự án D Le Roi Soleil Xuân Diệu, Giá Rẻ","D’. Le Roi Soleil , Xuân Diệu, Quảng An, Tây Hồ, Hà Nội","Chủ Đầu tư mở bán quỹ căn đẹp, 10 Căn cuối cùng tại dự án D'. Le Roi Soeil Quảng An view toàn cảnh Sông Hồng và Hồ Tây. Giá từ 106tr/m đã bao gồm lệ phí cấp sổ đỏ cho khách hàng. - Căn hộ 3 phòng ngủ diện tích 104m tới 136m và căn hộ 4 phòng ngủ 222m. - Đặc biệt trong tháng 10 này, CĐT tặng ngay gói nội thất 800tr cho căn 3PN và 1 tỷ đồng cho căn 4PN trừ thẳng vào giá bán cho khách hàng đặt mua thành công, cùng nhiều ưu đãi hấp dẫn khác. - Căn hộ sở hữ sổ đỏ lâu dài với đầy đủ tiện ích nội khu cao cấp như: TTTM, Rạp CGV, gym spa, nhà hàng, Khu vui chơi trẻ em, bể bơi 4 mùa và bể bơi vô cực... - Đặc biệt với 5,5 tầng hầm cung cấp 530 lốt đỗ xe ô tô cho 498 căn hộ, đáp ứng tối đa nhu cầu về nơi đỗ xe cho cư dân, một điểm nhấn hiếm có trong trung tâm hà Nội. - Giá bán chỉ từ 106tr/m đã bao gồm phí bảo trì và chi phí cấp sổ đỏ cho cư dân. ---------------------------------------------------------------------------------------------- Đăng ký tư vấn, tham quan và đặt mua căn hộ vui lòng Liên hệ: 0865 520 ***",07/11/2024,14/11/2024,Thỏa thuận,222 m²,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tin VIP Kim Cương,41461005
Bán căn góc 4N duy nhất tại Tây Hồ - View cả sông Hồng + Hồ Tây tuyệt đẹp 0978 896 ***,"Dự án D’. Le Roi Soleil , Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội","Bán căn góc 4PN duy nhất tại Tây Hồ: View cả sông Hồng, hướng thoáng, mát. Thông tin căn hộ: Căn góc: 4PN - DT 222.3m² (thông thủy). 4PN + 4VS. Hướng BC: Đông Bắc + Tây Bắc. View: Toàn bộ sông Hồng + Hồ Tây siêu đẹp, thoáng mát. (Căn duy nhất có view này tại Tây Hồ). * Ưu điểm: - Vị trí thuộc hàng đẳng cấp: Cực kỳ đắc địa, phong thủy cực tốt nằm tại trung tâm bán đảo Quảng An - Tây Hồ, 4 mặt hướng thủy, kết nối giao thông vô cùng thuận tiện. - Mức giá hiện tại của dự án đang còn thấp hơn khá nhiều so với các căn hộ cùng phân khúc trong khu vực (biên tăng giá còn rất rộng). - Căn hộ 4PN có tầm view Sông Hồng + Hồ Tây rất thoáng, hướng mát mẻ (gần như ko có căn hộ nào trong khu vực có cả 2 view này), và còn duy nhất 1 căn chưa vào tên tại dự án. - Thị trường cho thuê tại Bán đảo Quảng An tệp khách hàng rất lớn. - Số lượng căn hộ 4PN trong khu vực cực ít. - 100% các căn hộ đã có sổ đỏ, và sở hữu sổ lâu dài. --------------------------------------------------------------------------------------------------- Ngoài ra còn có các căn 3PN với tổng giá trị thấp hơn: Căn 3PN 111m²: Giá chỉ nhỉnh 13.1 tỷ - View Hồ Tây. Căn góc 2PN 103m²: Giá 13.6 tỷ - View sông Hồng. Căn dualkey 127m²: 2 căn riêng biệt trong 1 căn hộ (đầu tư cho thuê, dòng tiền ổn định). Căn 4PN view sông hồng + Hồ Tây: 222.3 m², hướng ban công Đông Bắc - Đông Nam. Liên hệ xem nhà: 0989 826 *** E Tâm BĐS Tây Hồ).",07/11/2024,14/11/2024,"30,87 tỷ","222,4 m²",3 phòng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tây - Bắc,4 phòng,Semi outfit,N/A,N/A,Tin VIP Kim Cương,41457433
Cập nhật liên tục quỹ căn biệt thự Ciputra mới nhất - Giá tốt nhất thị trường tháng 10 - 11/2024,"Dự án Ciputra Hà Nội, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội","* Cập nhật liên tục các căn biệt thự Ciputra mới nhất, giá tốt nhất bên mua - bán có thể gặp được nhau (tháng 10 - 11/2024): - Biệt thự song lập khu T, đường nội khu, diện tích 180m², giá bán 260tr/m². - Biệt thự song lập khu T đường đôi 30m, DT 230m², giá bán 260tr/m². - Biệt thự liền kề khu T, đường nội khu, diện tích 140m², giá bán 280tr/m². - Biệt thự căn góc khu T, đường to, diện tích 230m², giá bán 320tr/m². - Biệt thự liền kề khu C, đường nội khu, diện tích 126m², giá bán 285tr/m². - Biệt thự lô góc đơn lập C2 - 20 diện tích 638m² giá 320tr/1m². - Biệt thự khu C7, đường 10m, sau nhà công viên trước nhà nhìn trường Unis, diện tích 358m², giá bán 293tr/m². - Biệt thự song lập khu D, đường đôi 30m nhìn sang trường Unis, diện tích 180m², giá bán 310tr/m². - Biệt thự song lập khu D, đường đôi 30m nhìn sang trường Unis, diện tích 342m², giá bán 300tr/m². - Biệt thự song lập khu D, đường nội khu, diện tích 180m², giá bán 280tr/m². - Biệt thự song lập khu K, đường nội khu sau nhà công viên sân golf, diện tích 400m², giá bán 300tr/m². - Biệt thự song lập khu Q, đường chính, diện tích 400m², giá bán 250tr - 270tr/m². Thụy có đủ tất cả các quỹ căn hiện đang bán trong Ciputra, các căn giá còn thương lượng và liên tục cập nhật. Quý cô/chú, anh/chị, khách hàng xem nhà liên hệ: 0963 213 ***",06/11/2024,13/11/2024,250 triệu/m²,400 m²,Đông - Nam,Đông - Nam,N/A,N/A,10 m,30 m,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin VIP Kim Cương,39451814
"Bán nhà Tây Hồ lô góc 148.5m2, mặt tiền 7.2m","Phường Xuân La, Tây Hồ, Hà Nội","Nhà lô góc thửa vuông nở hậu giá đầu tư kv Tây Hồ, Hà Nội. - Diện tích 148.5m² lô góc giá 28 tỷ. - Mặt tiền rộng 7.2m. - Phù hợp xây building, toà văn phòng, toà căn hộ dịch vụ,... Kinh doanh đa ngành nghề. - Ngõ thông 10m, ô tô dừng đỗ. - Sổ đỏ chính chủ gửi ngân hàng. LH Lâm: 0876 781 ***",04/11/2024,05/12/2024,28 tỷ,"148,5 m²",1 tầng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"7,2 m",10 m,1 phòng,N/A,N/A,Tin thường,41424458
"Bán nhà riêng tại đường võng thị, giá ưu đãi 13,5 tỷ, diện tích 45m2, gần phố, kinh doanh, cho thuê","đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội","Nằm ở vị trí đắc địa tại đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội, căn nhà riêng này sở hữu nhiều điểm nổi bật, phù hợp cho các chuyên gia và doanh nhân. Với diện tích 45m², nhà được xây dựng 5 tầng, mang lại không gian sống thoải mái và tiện nghi. - Móng xây chắc chắn, về chủ mới có thể xây thêm tầng, hoặc cải tạo thành căn hộ cho thuê... - Nhà ngay gần mặt phố, kinh doanh, cho thuê đều tốt. - Khu vực trung tâm quận Tây Hồ, hơn 100m là ra tới Hồ Tây. - Nhà thiết kế hiện đại, tầng 1 thông sàn kinh doanh, tầng 2,3,4,5 gia đình sử dụng. - Pháp lý đầy đủ, sổ đỏ, sổ hồng rõ ràng, mang đến sự yên tâm cho người mua. Ngoài những tiện ích trên, vị trí căn nhà còn gần các tiện ích công cộng, trường học và khu vui chơi, thuận lợi cho cuộc sống hàng ngày. Đừng bỏ lỡ cơ hội sở hữu căn nhà lý tưởng này! Để biết thêm thông tin và được tư vấn miễn phí, vui lòng liên hệ Nguyễn Nhâm qua số điện thoại 0943 398 ***",07/11/2024,14/11/2024,"13,5 tỷ",45 m²,5 phòng,Sổ đỏ/ Sổ hồng,N/A,N/A,5 tầng,5 phòng,N/A,N/A,N/A,Tin VIP Bạc,41454534
"Căn hộ cao cấp Heritage West Lake 2PN 93m2, 3PN 149m2, 4PN 180m2, duplex 267m2. LH 0368 201 ***","Dự án Heritage West Lake, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội","PKD cập nhật quỹ căn Heritage West Lake 2PN 93m², 3PN 145m², 149m², 4PN 180m², duplex 267m² tháng 10 năm 2024. Quỹ căn chuyển nhượng Heritage West lake 677 Lạc Long Quân tháng 9/2024: - Căn 2 phòng ngủ 93m² giá từ 14 tỷ, tầng cao view Hồ Tây, sông Hồng. - Căn 3 phòng ngủ, 145m², 149m² tầng thấp, tầng trung, tầng cao giá hợp lý. - Căn 4 phòng ngủ, 180m²: Căn góc 2 mặt thoáng view Hồ Tây vĩnh viễn hướng Đông Nam mát mẻ. - Căn duplex 267m² ban công Đông Nam, Đông Bắc view Hồ Tây, sông Hồng. - Tất cả các căn hộ bàn giao full nội thất gắn tường cao cấp, mỗi căn 2 thang máy riêng biệt, sổ đỏ lâu dài. Liên hệ xem nhà thực tế và thương lượng giá: - PKD 0368 201 ***",06/11/2024,13/11/2024,14 tỷ,93 m²,Full nội thất gắn tường cao cấp.,N/A,N/A,N/A,2 phòng,Sổ đỏ,N/A,N/A,N/A,Tin VIP Kim Cương,41072799
Quỹ căn duplex 2 tầng tại Pentstudio Lạc Long Quân Tây Hồ giá tốt nhất,Parkiara,"Quỹ căn duplex 2 tầng thông phòng khách mới nhất tại tòa Pentstudio Lạc Long Quân: Căn 58m view khu vườn đào. Giá: 4,5-5 tỷ. Đang cho thuê từ 15 - 18tr/ tháng. Căn 76m view hồ Tây. Giá: 5,8 - 6,7 tỷ. Đang cho thuê từ 20 - 26tr/tháng. Căn 76m view cầu Nhật Tân. Giá: 6 - 6,4 tỷ. Đang cho thuê từ 20 - 25tr/tháng. LH xem nhà: 0936 997 ***",05/11/2024,13/11/2024,"6,3 tỷ",76 m²,1 phòng,2 phòng,Đầy đủ nội thất cao cấp.,N/A,Đông,Tây,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin VIP Kim Cương,41437290
"Quỹ căn duplex 2 tầng tại Lạc Long Quân Tây Hồ: 4.5 tỷ/căn nhỏ, 6 tỷ/căn to. Sổ đỏ lâu dài","Dự án PentStudio, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội","Quỹ căn duplex 2 tầng thông phòng khách mới nhất tại tòa Pentstudio Lạc Long Quân: Căn 58m² view khu vườn đào. Giá: 4,5-5 tỷ. Đang cho thuê từ 15 - 18tr/ tháng. Căn 76m² view hồ Tây. Giá: 5,8 - 6,7 tỷ. Đang cho thuê từ 20 - 26tr/tháng. Căn 76m² view cầu Nhật Tân. Giá: 6 - 6,4 tỷ. Đang cho thuê từ 20 - 25tr/tháng. Liên hệ e Trường: 0978 073 *** được tư vấn sát giá nhất. Căn 91m² view Ciputra. Tầng trung: 6,4-7,5 tỷ. Đang cho thuê từ: 22 - 30tr/tháng. Căn Queen góc 180m² view hồ Tây, cầu Nhật Tân. Tầng trung: 16,5 tỷ. Tầng cao: Thỏa thuận. Đang cho thuê từ 50 - 80tr/tháng. Căn hộ được vận hành theo mô hình khách sạn. Sổ đỏ sẵn giao dịch. Nơi lưu trú ưa thích của các chuyên gia nước ngoài, hiệu suất cho thuê số 1 Tây Hồ. Liên hệ e Trường: 0978 073 *** để chọn căn tầng ưng ý nhất.",05/11/2024,12/11/2024,"4,5 tỷ",58 m²,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,Đầy đủ,N/A,N/A,N/A,Tin VIP Kim Cương,40306354
